Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,1,988,521
27,1,988,521
28,1,1022,472
29,1,1025,472
30,1,1052,435
31,1,1052,435
32,1,1063,420
33,1,1067,420
34,1,1089,405
35,1,1089,405
36,1,1112,397
37,1,1112,397
38,1,1131,393
39,1,1134,393
40,1,1149,397
41,1,1149,401
42,1,1168,412
43,1,1172,412
44,1,1176,420
45,1,1179,420
46,1,1191,442
47,1,1194,442
48,1,1202,465
49,1,1206,468
50,1,1210,480
51,1,1210,476
52,1,1221,457
53,1,1221,457
54,1,1225,420
55,1,1225,420
56,1,1221,408
57,1,1217,405
58,1,1217,397
59,1,1213,393
60,1,1221,382
61,1,1221,378
62,1,1221,375
63,1,1221,375
64,1,1228,375
65,1,1228,375
66,1,1232,375
67,1,1232,378
68,1,1232,390
69,1,1232,390
70,1,1232,397
71,1,1232,397
72,1,1232,431
73,1,1232,431
74,1,1232,431
75,1,1232,431
76,1,1236,461
77,1,1236,461
78,1,1232,517
79,1,1236,517
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,1,1228,255
85,1,1228,255
86,1,1225,195
87,1,1225,195
88,1,1225,97
89,1,1225,97
90,1,1221,18
91,1,1221,15
92,1,1221,3
93,1,1225,3
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,1,1123,420
121,1,1123,420
122,0,0,0
123,0,0,0
124,1,1198,22
125,1,1198,22
126,1,1198,60
127,1,1198,60
128,1,1198,78
129,1,1198,78
130,1,1194,120
131,1,1194,120
132,1,1194,165
133,1,1194,157
134,1,1206,150
135,1,1210,150
136,1,1236,116
137,1,1236,116
138,1,1251,101
139,1,1251,97
140,1,1258,93
141,1,1258,93
142,1,1270,90
143,1,1270,90
144,1,1277,93
145,1,1277,93
146,1,1277,93
147,1,1277,97
148,1,1285,105
149,1,1285,105
150,1,1288,127
151,1,1288,127
152,1,1292,142
153,1,1292,142
154,1,1296,172
155,1,1296,172
156,1,1300,213
157,1,1300,217
158,1,1300,240
159,1,1300,240
160,1,1300,292
161,1,1300,292
162,1,1296,348
163,1,1300,352
164,1,1296,378
165,1,1300,375
166,1,1292,476
167,1,1292,476
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
