Frame,Visibility,X,Y
0,0,0,0
1,1,990,480
2,0,0,0
3,1,990,480
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,1,1020,442
9,1,1038,420
10,1,1038,420
11,1,1038,412
12,1,1042,408
13,1,1046,408
14,1,1050,408
15,1,1053,408
16,1,1057,412
17,1,1065,416
18,1,1068,423
19,1,1072,427
20,1,1072,442
21,1,1076,457
22,1,1080,465
23,1,1083,483
24,1,1083,506
25,1,1087,517
26,1,1087,540
27,1,1087,566
28,1,1091,577
29,0,0,0
30,0,0,0
31,1,1110,498
32,1,1121,405
33,1,1128,333
34,1,1132,303
35,1,1140,255
36,1,1147,213
37,1,1147,195
38,1,1155,165
39,1,1158,142
40,1,1162,127
41,1,1162,112
42,1,1166,97
43,1,1170,90
44,1,1173,82
45,1,1177,75
46,1,1177,75
47,1,1181,71
48,1,1185,71
49,1,1188,75
50,1,1188,75
51,1,1192,78
52,1,1196,82
53,1,1200,90
54,1,1203,101
55,1,1203,108
56,1,1207,120
57,1,1211,135
58,1,1215,142
59,1,1215,161
60,1,1218,176
61,1,1222,187
62,1,1222,206
63,1,1226,221
64,1,1200,165
65,1,1170,105
66,1,1147,60
67,1,1136,37
68,1,1117,7
69,0,0,0
70,0,0,0
71,0,0,0
72,1,1042,487
73,1,1046,495
74,1,1050,513
75,1,1050,528
76,1,1053,536
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,1,888,3
89,1,877,26
90,1,866,52
91,1,858,75
92,1,847,105
93,1,840,142
94,1,832,165
95,1,821,202
96,1,810,243
97,1,806,266
98,1,798,315
99,1,836,345
100,1,888,348
101,1,956,348
102,1,1008,352
103,1,1027,352
104,1,1068,360
105,1,1095,367
106,1,1110,375
107,1,1128,386
108,1,1147,397
109,1,1162,405
110,1,1177,416
111,1,1192,431
112,1,1196,435
113,1,1207,450
114,1,1218,468
115,1,1226,480
116,1,1233,495
117,1,1245,517
118,1,1248,525
119,0,0,0
120,1,1263,570
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,1,1282,457
126,1,1282,393
127,1,1286,367
128,1,1286,322
129,1,1286,277
130,1,1286,258
131,1,1286,225
132,1,1286,195
133,1,1286,180
134,1,1286,157
135,1,1282,135
136,1,1282,127
137,1,1282,112
138,1,1282,105
139,1,1282,97
140,1,1282,93
141,1,1278,90
142,1,1278,86
143,1,1275,90
144,1,1275,93
145,1,1275,97
146,1,1267,105
147,1,1267,120
148,1,1263,131
149,1,1260,146
150,1,1256,168
151,1,1252,180
152,1,1248,206
153,1,1245,232
154,1,1245,251
155,1,1237,285
156,1,1245,333
157,1,1248,356
158,1,1260,378
159,1,1263,397
160,1,1263,405
161,1,1263,416
162,1,1267,427
163,1,1263,431
164,1,1271,446
165,1,1271,461
166,1,1271,465
167,1,1271,476
168,1,1271,487
169,1,1275,495
170,1,1275,457
171,1,1275,427
172,1,1275,412
173,1,1275,390
174,1,1275,371
175,1,1275,367
176,1,1278,352
177,1,1278,345
178,1,1275,341
179,1,1275,337
180,1,1275,337
181,1,1275,337
182,1,1275,337
183,1,1275,345
184,1,1271,348
185,1,1271,360
186,1,1267,371
187,1,1267,378
188,1,1241,412
189,1,1207,427
190,1,1192,435
191,1,1177,446
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,1,1020,480
199,0,0,0
200,0,0,0
201,1,1098,405
202,1,1095,397
203,1,1087,382
204,1,1083,375
205,1,1080,367
206,1,1072,363
207,1,1065,360
208,1,1065,360
209,1,1057,363
210,1,1053,367
211,0,0,0
212,1,941,382
213,1,907,393
214,1,888,401
215,1,866,408
216,1,851,416
217,1,843,423
218,1,828,435
219,1,817,442
220,1,813,446
221,1,810,450
222,1,795,472
223,1,791,480
224,1,798,472
225,1,855,397
226,1,866,390
227,1,903,352
228,1,926,322
229,1,941,311
230,1,960,288
231,1,982,273
232,1,993,266
233,1,1012,255
234,1,1027,243
235,1,1038,240
236,1,1057,236
237,1,1072,232
238,1,1080,232
239,1,1095,236
240,1,1110,240
241,1,1117,243
242,1,1128,255
243,1,1143,262
244,1,1147,270
245,1,1162,285
246,1,1173,303
247,1,1177,315
248,1,1192,337
249,1,1200,356
250,1,1207,371
251,1,1215,397
252,1,1222,420
253,1,1207,427
